year,city,party,mention_count
2010,Pietarsaari,Kansallinen Kokoomus,1
2010,Äänekoski,Vasemmistoliitto,2
2010,Äänekoski,Suomen Kristillisdemokraatit,2
2010,Äänekoski,Suomen Keskusta,4
2010,Äänekoski,Suomen Sosialidemokraattinen Puolue,1
2010,Heinola,Kansallinen Kokoomus,27
2010,Heinola,Suomen Sosialidemokraattinen Puolue,31
2010,Heinola,Perussuomalaiset,10
2010,Heinola,Suomen Keskusta,15
2010,Heinola,Suomen Kristillisdemokraatit,12
2010,Heinola,Vasemmistoliitto,13
2010,Heinola,Vihreä liitto,4
2010,Heinola,Suomen ruotsalainen kansanpuolue,1
2010,Pieksämäki,Suomen Keskusta,3
2010,Pieksämäki,Suomen Sosialidemokraattinen Puolue,1
2010,Pieksämäki,Vihreä liitto,1
2010,Forssa,Suomen Keskusta,2
2010,Orimattila,Kansallinen Kokoomus,3
2010,Orimattila,Vihreä liitto,1
2010,Loimaa,Kansallinen Kokoomus,2
2010,Loimaa,Suomen Keskusta,1
2010,Kauhava,Vasemmistoliitto,3
2010,Kauhava,Suomen Keskusta,1
2010,Kauhava,Kansallinen Kokoomus,1
2010,Uusikaupunki,Suomen Sosialidemokraattinen Puolue,1
2010,Ylivieska,Suomen Keskusta,1
2010,Ylivieska,Suomen Sosialidemokraattinen Puolue,1
2010,Kuusamo,Suomen Sosialidemokraattinen Puolue,1
2010,Kuusamo,Suomen Keskusta,4
2010,Kuusamo,Kansallinen Kokoomus,2
2010,Kuusamo,Vasemmistoliitto,2
2010,Loviisa,Suomen Keskusta,7
2010,Loviisa,Vasemmistoliitto,8
2010,Loviisa,Suomen Sosialidemokraattinen Puolue,5
2010,Loviisa,Kansallinen Kokoomus,4
2010,Loviisa,Suomen Kristillisdemokraatit,1
2010,Kauhajoki,Vasemmistoliitto,4
2010,Kauhajoki,Suomen Keskusta,4
2010,Kauhajoki,Kansallinen Kokoomus,3
2010,Kauhajoki,Suomen Sosialidemokraattinen Puolue,4
2010,Kauhajoki,Suomen Kristillisdemokraatit,2
2010,Kauhajoki,Perussuomalaiset,2
2010,Kauhajoki,Suomen ruotsalainen kansanpuolue,1
2010,Ulvila,Suomen Sosialidemokraattinen Puolue,1
2010,Lieksa,Suomen Sosialidemokraattinen Puolue,6
2010,Nivala,Kansallinen Kokoomus,1
2010,Kauniainen,Suomen Kristillisdemokraatit,1
2010,Kauniainen,Perussuomalaiset,3
2010,Kauniainen,Suomen Sosialidemokraattinen Puolue,4
2010,Kauniainen,Kansallinen Kokoomus,2
2010,Kauniainen,Vasemmistoliitto,3
2010,Kitee,Suomen Sosialidemokraattinen Puolue,4
2010,Kitee,Suomen Keskusta,1
2010,Huittinen,Suomen Sosialidemokraattinen Puolue,1
2010,Huittinen,Suomen Keskusta,2
2010,Mänttä-Vilppula,Suomen Keskusta,1
2010,Närpiö,Suomen ruotsalainen kansanpuolue,2
2010,Nurmes,Suomen Sosialidemokraattinen Puolue,1
2010,Keuruu,Suomen Keskusta,28
2010,Keuruu,Kansallinen Kokoomus,2
2010,Keuruu,Suomen Kristillisdemokraatit,2
2010,Alajärvi,Suomen Keskusta,1
2010,Saarijärvi,Suomen Keskusta,3
2010,Saarijärvi,Suomen Kristillisdemokraatit,2
2010,Saarijärvi,Vihreä liitto,1
2010,Orivesi,Suomen Keskusta,1
2010,Orivesi,Suomen Kristillisdemokraatit,1
2010,Orivesi,Suomen Sosialidemokraattinen Puolue,1
2010,Karkkila,Kansallinen Kokoomus,3
2010,Karkkila,Perussuomalaiset,2
2010,Karkkila,Vihreä liitto,1
2010,Karkkila,Suomen Sosialidemokraattinen Puolue,1
2010,Somero,Suomen Keskusta,5
2010,Somero,Suomen Kristillisdemokraatit,1
2010,Hanko,Suomen Sosialidemokraattinen Puolue,8
2010,Hanko,Suomen Keskusta,8
2010,Hanko,Suomen ruotsalainen kansanpuolue,2
2010,Hanko,Kansallinen Kokoomus,1
2010,Kuhmo,Vihreä liitto,1
2010,Kuhmo,Suomen Keskusta,3
2010,Kuhmo,Suomen Kristillisdemokraatit,1
2010,Kuhmo,Suomen Sosialidemokraattinen Puolue,1
2010,Kiuruvesi,Vasemmistoliitto,1
2010,Pudasjärvi,Vihreä liitto,2
2010,Pudasjärvi,Suomen ruotsalainen kansanpuolue,2
2010,Pudasjärvi,Suomen Keskusta,4
2010,Pudasjärvi,Suomen Kristillisdemokraatit,1
2010,Pudasjärvi,Suomen Sosialidemokraattinen Puolue,1
2010,Kemijärvi,Suomen Keskusta,5
2010,Kemijärvi,Vasemmistoliitto,7
2010,Kemijärvi,Suomen Kansan Demokraattinen Liitto,1
2010,Kemijärvi,Suomen Sosialidemokraattinen Puolue,3
2010,Kemijärvi,Kansallinen Kokoomus,4
2010,Kokemäki,Kansallinen Kokoomus,1
2010,Kokemäki,Suomen Keskusta,3
2010,Kokemäki,Suomen Sosialidemokraattinen Puolue,1
2010,Suonenjoki,Suomen Keskusta,1
2010,Haapajärvi,Suomen Keskusta,1
2010,Ikaalinen,Kansallinen Kokoomus,1
2010,Haapavesi,Suomen Keskusta,1
2010,Outokumpu,Vasemmistoliitto,9
2010,Outokumpu,Kansallinen Kokoomus,7
2010,Outokumpu,Suomen Keskusta,6
2010,Outokumpu,Suomen Kristillisdemokraatit,4
2010,Outokumpu,Suomen Sosialidemokraattinen Puolue,2
2010,Outokumpu,Vihreä liitto,1
2010,Kristiinankaupunki,Kansallinen Kokoomus,3
2010,Kristiinankaupunki,Suomen Sosialidemokraattinen Puolue,1
2010,Parkano,Suomen Keskusta,4
2010,Viitasaari,Suomen Keskusta,2
2010,Ähtäri,Suomen Keskusta,3
2010,Pyhäjärvi,Suomen Keskusta,3
2010,Pyhäjärvi,Vasemmistoliitto,2
2010,Pyhäjärvi,Kansallinen Kokoomus,1
2010,Pyhäjärvi,Suomen Sosialidemokraattinen Puolue,2
2010,Pyhäjärvi,Suomen ruotsalainen kansanpuolue,1
2010,Kaskinen,Suomen Kansan Demokraattinen Liitto,1
2010,Kaskinen,Kansallinen Kokoomus,1
2010,Kaskinen,Suomen Sosialidemokraattinen Puolue,2
2008,Helsinki,Kansallinen Kokoomus,136
2008,Helsinki,Suomen Sosialidemokraattinen Puolue,104
2008,Helsinki,Vihreä liitto,48
2008,Helsinki,Vasemmistoliitto,86
2008,Helsinki,Sininen tulevaisuus,4
2008,Helsinki,Suomen Kansan Demokraattinen Liitto,10
2008,Helsinki,Suomen Keskusta,65
2008,Helsinki,Suomen Kristillisdemokraatit,18
2008,Helsinki,Suomen ruotsalainen kansanpuolue,10
2008,Helsinki,Perussuomalaiset,4
2008,Espoo,Kansallinen Kokoomus,38
2008,Espoo,Suomen Sosialidemokraattinen Puolue,13
2008,Espoo,Suomen Keskusta,8
2008,Espoo,Suomen Kristillisdemokraatit,5
2008,Espoo,Vasemmistoliitto,12
2008,Espoo,Suomen ruotsalainen kansanpuolue,3
2008,Espoo,Sininen tulevaisuus,5
2008,Espoo,Vihreä liitto,3
2008,Espoo,Suomen Kansan Demokraattinen Liitto,1
2008,Tampere,Vasemmistoliitto,11
2008,Tampere,Kansallinen Kokoomus,30
2008,Tampere,Suomen Kristillisdemokraatit,8
2008,Tampere,Suomen Sosialidemokraattinen Puolue,25
2008,Tampere,Suomen Keskusta,34
2008,Tampere,Suomen ruotsalainen kansanpuolue,1
2008,Tampere,Vihreä liitto,4
2008,Tampere,Suomen Kansan Demokraattinen Liitto,3
2008,Vantaa,Suomen Kristillisdemokraatit,1
2008,Vantaa,Suomen ruotsalainen kansanpuolue,2
2008,Vantaa,Vasemmistoliitto,3
2008,Vantaa,Suomen Sosialidemokraattinen Puolue,9
2008,Vantaa,Vihreä liitto,3
2008,Vantaa,Suomen Keskusta,6
2008,Vantaa,Kansallinen Kokoomus,22
2008,Vantaa,Suomen Kansan Demokraattinen Liitto,1
2008,Oulu,Kansallinen Kokoomus,40
2008,Oulu,Suomen Kristillisdemokraatit,14
2008,Oulu,Suomen Sosialidemokraattinen Puolue,22
2008,Oulu,Vihreä liitto,40
2008,Oulu,Vasemmistoliitto,12
2008,Oulu,Suomen Keskusta,28
2008,Oulu,Suomen ruotsalainen kansanpuolue,1
2008,Turku,Suomen Sosialidemokraattinen Puolue,21
2008,Turku,Suomen Keskusta,8
2008,Turku,Kansallinen Kokoomus,31
2008,Turku,Vihreä liitto,3
2008,Turku,Suomen Kristillisdemokraatit,5
2008,Turku,Suomen Kansan Demokraattinen Liitto,3
2008,Turku,Vasemmistoliitto,16
2008,Turku,Suomen ruotsalainen kansanpuolue,1
2008,Jyväskylä,Kansallinen Kokoomus,6
2008,Jyväskylä,Suomen Kristillisdemokraatit,7
2008,Jyväskylä,Suomen Keskusta,17
2008,Jyväskylä,Suomen Sosialidemokraattinen Puolue,14
2008,Jyväskylä,Vasemmistoliitto,10
2008,Jyväskylä,Vihreä liitto,2
2008,Jyväskylä,Suomen ruotsalainen kansanpuolue,3
2008,Kuopio,Suomen Keskusta,35
2008,Kuopio,Kansallinen Kokoomus,10
2008,Kuopio,Vihreä liitto,4
2008,Kuopio,Suomen ruotsalainen kansanpuolue,2
2008,Kuopio,Suomen Sosialidemokraattinen Puolue,12
2008,Kuopio,Vasemmistoliitto,24
2008,Kuopio,Suomen Kristillisdemokraatit,3
2008,Kuopio,Perussuomalaiset,1
2008,Lahti,Kansallinen Kokoomus,16
2008,Lahti,Suomen Sosialidemokraattinen Puolue,8
2008,Lahti,Suomen Kristillisdemokraatit,4
2008,Lahti,Vasemmistoliitto,9
2008,Lahti,Vihreä liitto,3
2008,Lahti,Suomen Keskusta,5
2008,Lahti,Sininen tulevaisuus,1
2008,Pori,Kansallinen Kokoomus,7
2008,Pori,Vasemmistoliitto,3
2008,Pori,Suomen Keskusta,14
2008,Pori,Suomen Sosialidemokraattinen Puolue,6
2008,Pori,Vihreä liitto,3
2008,Pori,Suomen Kristillisdemokraatit,3
2008,Kouvola,Vasemmistoliitto,10
2008,Kouvola,Kansallinen Kokoomus,8
2008,Kouvola,Vihreä liitto,1
2008,Kouvola,Suomen Sosialidemokraattinen Puolue,3
2008,Kouvola,Suomen Keskusta,6
2008,Kouvola,Suomen Kristillisdemokraatit,2
2008,Joensuu,Suomen Keskusta,10
2008,Joensuu,Suomen Sosialidemokraattinen Puolue,12
2008,Joensuu,Kansallinen Kokoomus,8
2008,Joensuu,Vasemmistoliitto,4
2008,Joensuu,Vihreä liitto,1
2008,Lappeenranta,Suomen Keskusta,3
2008,Lappeenranta,Kansallinen Kokoomus,7
2008,Lappeenranta,Suomen Sosialidemokraattinen Puolue,9
2008,Lappeenranta,Suomen Kristillisdemokraatit,1
2008,Lappeenranta,Vasemmistoliitto,4
2008,Hämeenlinna,Vihreä liitto,2
2008,Hämeenlinna,Suomen Keskusta,2
2008,Hämeenlinna,Kansallinen Kokoomus,6
2008,Hämeenlinna,Suomen Sosialidemokraattinen Puolue,5
2008,Hämeenlinna,Vasemmistoliitto,2
2008,Vaasa,Suomen Keskusta,15
2008,Vaasa,Kansallinen Kokoomus,5
2008,Vaasa,Suomen ruotsalainen kansanpuolue,10
2008,Vaasa,Suomen Kristillisdemokraatit,2
2008,Vaasa,Vihreä liitto,1
2008,Vaasa,Vasemmistoliitto,1
2008,Vaasa,Perussuomalaiset,1
2008,Vaasa,Suomen Sosialidemokraattinen Puolue,1
2008,Seinäjoki,Vihreä liitto,2
2008,Seinäjoki,Suomen Keskusta,14
2008,Seinäjoki,Kansallinen Kokoomus,5
2008,Seinäjoki,Suomen ruotsalainen kansanpuolue,5
2008,Seinäjoki,Perussuomalaiset,1
2008,Rovaniemi,Vasemmistoliitto,9
2008,Rovaniemi,Suomen Sosialidemokraattinen Puolue,16
2008,Rovaniemi,Kansallinen Kokoomus,5
2008,Rovaniemi,Suomen Keskusta,10
2008,Rovaniemi,Suomen Kristillisdemokraatit,3
2008,Rovaniemi,Vihreä liitto,6
2008,Mikkeli,Kansallinen Kokoomus,6
2008,Mikkeli,Vihreä liitto,2
2008,Mikkeli,Suomen Keskusta,6
2008,Mikkeli,Vasemmistoliitto,1
2008,Mikkeli,Suomen Sosialidemokraattinen Puolue,6
2008,Kotka,Vasemmistoliitto,37
2008,Kotka,Suomen Sosialidemokraattinen Puolue,12
2008,Kotka,Suomen Keskusta,10
2008,Kotka,Kansallinen Kokoomus,6
2008,Kotka,Suomen ruotsalainen kansanpuolue,1
2008,Salo,Vasemmistoliitto,3
2008,Salo,Vihreä liitto,1
2008,Salo,Kansallinen Kokoomus,4
2008,Salo,Suomen Keskusta,2
2008,Salo,Suomen Sosialidemokraattinen Puolue,1
2008,Porvoo,Suomen ruotsalainen kansanpuolue,2
2008,Porvoo,Perussuomalaiset,2
2008,Porvoo,Kansallinen Kokoomus,3
2008,Porvoo,Suomen Sosialidemokraattinen Puolue,1
2008,Porvoo,Vihreä liitto,2
2008,Porvoo,Suomen Keskusta,2
2008,Porvoo,Suomen Kansan Demokraattinen Liitto,1
2008,Porvoo,Suomen Kristillisdemokraatit,1
2008,Kokkola,Perussuomalaiset,1
2008,Kokkola,Suomen Kristillisdemokraatit,1
2008,Kokkola,Suomen Keskusta,2
2008,Kokkola,Vasemmistoliitto,1
2008,Kokkola,Vihreä liitto,2
2008,Hyvinkää,Suomen Keskusta,1
2008,Hyvinkää,Suomen Kristillisdemokraatit,2
2008,Hyvinkää,Kansallinen Kokoomus,2
2008,Hyvinkää,Suomen Sosialidemokraattinen Puolue,1
2008,Lohja,Vasemmistoliitto,2
2008,Lohja,Suomen Keskusta,2
2008,Lohja,Kansallinen Kokoomus,3
2008,Lohja,Vihreä liitto,1
2008,Lohja,Suomen Sosialidemokraattinen Puolue,2
2008,Järvenpää,Suomen Sosialidemokraattinen Puolue,3
2008,Järvenpää,Kansallinen Kokoomus,1
2008,Järvenpää,Vihreä liitto,1
2008,Järvenpää,Vasemmistoliitto,1
2008,Järvenpää,Suomen Keskusta,1
2008,Rauma,Suomen Keskusta,11
2008,Rauma,Vasemmistoliitto,3
2008,Rauma,Suomen Kristillisdemokraatit,1
2008,Rauma,Kansallinen Kokoomus,2
2008,Rauma,Suomen Sosialidemokraattinen Puolue,1
2008,Rauma,Suomen Kansan Demokraattinen Liitto,1
2008,Kerava,Suomen Sosialidemokraattinen Puolue,5
2008,Kerava,Vihreä liitto,1
2008,Kerava,Suomen Keskusta,1
2008,Kerava,Kansallinen Kokoomus,1
2008,Kerava,Vasemmistoliitto,1
2008,Kajaani,Suomen Keskusta,11
2008,Kajaani,Vasemmistoliitto,7
2008,Kajaani,Suomen ruotsalainen kansanpuolue,2
2008,Kajaani,Kansallinen Kokoomus,6
2008,Kajaani,Vihreä liitto,5
2008,Kajaani,Suomen Sosialidemokraattinen Puolue,2
2008,Kajaani,Suomen Kristillisdemokraatit,1
2008,Kaarina,Kansallinen Kokoomus,1
2008,Nokia,Vasemmistoliitto,15
2008,Nokia,Vihreä liitto,4
2008,Nokia,Suomen Keskusta,17
2008,Nokia,Kansallinen Kokoomus,18
2008,Nokia,Suomen Sosialidemokraattinen Puolue,14
2008,Nokia,Perussuomalaiset,1
2008,Nokia,Suomen Kansan Demokraattinen Liitto,2
2008,Nokia,Suomen Kristillisdemokraatit,1
2008,Ylöjärvi,Suomen Keskusta,6
2008,Savonlinna,Suomen Keskusta,8
2008,Savonlinna,Suomen Sosialidemokraattinen Puolue,13
2008,Savonlinna,Kansallinen Kokoomus,3
2008,Savonlinna,Vihreä liitto,6
2008,Kangasala,Suomen Keskusta,2
2008,Riihimäki,Suomen Sosialidemokraattinen Puolue,9
2008,Riihimäki,Kansallinen Kokoomus,4
2008,Riihimäki,Suomen Keskusta,1
2008,Riihimäki,Suomen Kristillisdemokraatit,2
2008,Riihimäki,Vihreä liitto,1
2008,Imatra,Suomen Sosialidemokraattinen Puolue,16
2008,Imatra,Kansallinen Kokoomus,6
2008,Imatra,Suomen Keskusta,5
2008,Imatra,Vasemmistoliitto,3
2008,Raisio,Kansallinen Kokoomus,5
2008,Raisio,Suomen Sosialidemokraattinen Puolue,3
2008,Raisio,Vasemmistoliitto,4
2008,Raahe,Suomen Keskusta,2
2008,Raahe,Vasemmistoliitto,3
2008,Sastamala,Kansallinen Kokoomus,1
2008,Tornio,Suomen Keskusta,3
2008,Tornio,Kansallinen Kokoomus,4
2008,Tornio,Vasemmistoliitto,3
2008,Tornio,Suomen Sosialidemokraattinen Puolue,1
2008,Iisalmi,Vasemmistoliitto,1
2008,Iisalmi,Kansallinen Kokoomus,1
2008,Valkeakoski,Kansallinen Kokoomus,2
2008,Valkeakoski,Suomen Sosialidemokraattinen Puolue,1
2008,Valkeakoski,Suomen Keskusta,1
2008,Valkeakoski,Vasemmistoliitto,1
2008,Valkeakoski,Suomen Kansan Demokraattinen Liitto,1
2008,Kurikka,Kansallinen Kokoomus,1
2008,Kurikka,Suomen Keskusta,6
2008,Kemi,Vihreä liitto,2
2008,Kemi,Suomen Sosialidemokraattinen Puolue,11
2008,Kemi,Vasemmistoliitto,12
2008,Kemi,Suomen Keskusta,7
2008,Kemi,Kansallinen Kokoomus,8
2008,Kemi,Suomen Kristillisdemokraatit,2
2008,Kemi,Suomen ruotsalainen kansanpuolue,1
2008,Varkaus,Suomen Keskusta,13
2008,Varkaus,Kansallinen Kokoomus,3
2008,Varkaus,Vihreä liitto,4
2008,Varkaus,Suomen Sosialidemokraattinen Puolue,6
2008,Varkaus,Vasemmistoliitto,2
2008,Varkaus,Suomen Kristillisdemokraatit,2
2008,Jämsä,Suomen Keskusta,3
2008,Jämsä,Suomen Kristillisdemokraatit,3
2008,Jämsä,Suomen Sosialidemokraattinen Puolue,5
2008,Jämsä,Kansallinen Kokoomus,1
2008,Hamina,Suomen Keskusta,8
2008,Hamina,Vasemmistoliitto,10
2008,Hamina,Suomen Sosialidemokraattinen Puolue,9
2008,Hamina,Kansallinen Kokoomus,4
2008,Hamina,Vihreä liitto,1
2008,Naantali,Suomen Keskusta,1
2008,Naantali,Vasemmistoliitto,1
2008,Naantali,Kansallinen Kokoomus,1
2008,Pietarsaari,Suomen Keskusta,5
2008,Pietarsaari,Suomen ruotsalainen kansanpuolue,4
2008,Pietarsaari,Suomen Kristillisdemokraatit,1
2008,Pietarsaari,Vasemmistoliitto,1
2008,Pietarsaari,Kansallinen Kokoomus,1
2008,Äänekoski,Suomen Keskusta,5
2008,Äänekoski,Suomen Kristillisdemokraatit,3
2008,Äänekoski,Suomen Sosialidemokraattinen Puolue,1
2008,Heinola,Suomen Sosialidemokraattinen Puolue,5
2008,Heinola,Vasemmistoliitto,2
2008,Heinola,Kansallinen Kokoomus,1
2008,Heinola,Suomen Keskusta,1
2008,Pieksämäki,Kansallinen Kokoomus,1
2008,Pieksämäki,Suomen Keskusta,3
2008,Pieksämäki,Vasemmistoliitto,1
2008,Forssa,Kansallinen Kokoomus,2
2008,Forssa,Vasemmistoliitto,1
2008,Forssa,Suomen Sosialidemokraattinen Puolue,1
2008,Orimattila,Vasemmistoliitto,1
2008,Loimaa,Suomen Keskusta,2
2008,Kauhava,Suomen Keskusta,3
2008,Kauhava,Kansallinen Kokoomus,1
2008,Kauhava,Perussuomalaiset,1
2008,Uusikaupunki,Vihreä liitto,1
2008,Uusikaupunki,Kansallinen Kokoomus,1
2008,Ylivieska,Suomen Keskusta,1
2008,Ylivieska,Vihreä liitto,1
2008,Ylivieska,Suomen Kristillisdemokraatit,1
2008,Kuusamo,Suomen Keskusta,7
2008,Kuusamo,Suomen Sosialidemokraattinen Puolue,1
2008,Kuusamo,Vasemmistoliitto,1
2008,Kuusamo,Suomen Kristillisdemokraatit,1
2008,Kuusamo,Kansallinen Kokoomus,1
2008,Kuusamo,Vihreä liitto,1
2008,Loviisa,Vihreä liitto,2
2008,Loviisa,Vasemmistoliitto,4
2008,Loviisa,Kansallinen Kokoomus,1
2008,Loviisa,Suomen Kansan Demokraattinen Liitto,1
2008,Loviisa,Suomen Keskusta,1
2008,Lapua,Perussuomalaiset,2
2008,Lapua,Suomen Keskusta,1
2008,Lapua,Kansallinen Kokoomus,1
2008,Kauhajoki,Suomen Keskusta,14
2008,Kauhajoki,Vihreä liitto,2
2008,Kauhajoki,Kansallinen Kokoomus,10
2008,Kauhajoki,Vasemmistoliitto,7
2008,Kauhajoki,Suomen Sosialidemokraattinen Puolue,14
2008,Kauhajoki,Perussuomalaiset,1
2008,Kauhajoki,Suomen ruotsalainen kansanpuolue,2
2008,Kauhajoki,Suomen Kristillisdemokraatit,1
2008,Kalajoki,Suomen Sosialidemokraattinen Puolue,1
2008,Maarianhamina,Suomen Keskusta,1
2008,Maarianhamina,Suomen Kristillisdemokraatit,1
2008,Maarianhamina,Kansallinen Kokoomus,1
2008,Alavus,Perussuomalaiset,1
2008,Lieksa,Suomen Sosialidemokraattinen Puolue,5
2008,Lieksa,Vasemmistoliitto,1
2008,Kauniainen,Kansallinen Kokoomus,7
2008,Kauniainen,Suomen Sosialidemokraattinen Puolue,3
2008,Kauniainen,Suomen Kansan Demokraattinen Liitto,1
2008,Kauniainen,Suomen Keskusta,1
2008,Kitee,Suomen Sosialidemokraattinen Puolue,5
2008,Kitee,Suomen Keskusta,1
2008,Närpiö,Suomen ruotsalainen kansanpuolue,1
2008,Nurmes,Perussuomalaiset,1
2008,Nurmes,Suomen Sosialidemokraattinen Puolue,1
2008,Keuruu,Suomen Keskusta,32
2008,Keuruu,Suomen Kristillisdemokraatit,5
2008,Alajärvi,Suomen Keskusta,2
2008,Alajärvi,Perussuomalaiset,2
2008,Saarijärvi,Suomen Keskusta,5
2008,Saarijärvi,Suomen Kristillisdemokraatit,1
2008,Orivesi,Suomen Keskusta,5
2008,Karkkila,Kansallinen Kokoomus,1
2008,Hanko,Vihreä liitto,1
2008,Hanko,Kansallinen Kokoomus,4
2008,Hanko,Suomen ruotsalainen kansanpuolue,3
2008,Hanko,Suomen Keskusta,2
2008,Hanko,Suomen Sosialidemokraattinen Puolue,9
2008,Hanko,Suomen Kristillisdemokraatit,1
2008,Kuhmo,Suomen Keskusta,2
2008,Kuhmo,Vihreä liitto,1
2008,Kuhmo,Vasemmistoliitto,2
2008,Kemijärvi,Vasemmistoliitto,54
2008,Kemijärvi,Suomen Keskusta,34
2008,Kemijärvi,Suomen Sosialidemokraattinen Puolue,41
2008,Kemijärvi,Kansallinen Kokoomus,23
2008,Kemijärvi,Suomen Kristillisdemokraatit,11
2008,Kemijärvi,Suomen Kansan Demokraattinen Liitto,6
2008,Kemijärvi,Perussuomalaiset,1
2008,Kemijärvi,Vihreä liitto,8
2008,Kemijärvi,Sininen tulevaisuus,3
2008,Kemijärvi,Suomen ruotsalainen kansanpuolue,1
2008,Oulainen,Suomen Keskusta,2
2008,Kokemäki,Kansallinen Kokoomus,1
2008,Kokemäki,Suomen Sosialidemokraattinen Puolue,2
2008,Haapajärvi,Suomen Keskusta,2
2008,Haapajärvi,Vihreä liitto,1
2008,Ikaalinen,Suomen Keskusta,1
2008,Harjavalta,Suomen Keskusta,1
2008,Harjavalta,Vasemmistoliitto,1
2008,Haapavesi,Suomen Keskusta,1
2008,Outokumpu,Suomen Keskusta,5
2008,Outokumpu,Kansallinen Kokoomus,6
2008,Outokumpu,Vasemmistoliitto,8
2008,Outokumpu,Suomen Sosialidemokraattinen Puolue,3
2008,Outokumpu,Sininen tulevaisuus,1
2008,Virrat,Suomen Keskusta,1
2008,Kristiinankaupunki,Kansallinen Kokoomus,1
2008,Parkano,Suomen Keskusta,1
2008,Viitasaari,Suomen Keskusta,2
2008,Viitasaari,Suomen Kristillisdemokraatit,1
2008,Ähtäri,Suomen Keskusta,4
2008,Kannus,Suomen Keskusta,3
2008,Kannus,Suomen Sosialidemokraattinen Puolue,1
2008,Kaskinen,Suomen Sosialidemokraattinen Puolue,1
2008,Kaskinen,Kansallinen Kokoomus,1
2008,Kaskinen,Suomen Keskusta,3
2011,Helsinki,Suomen Keskusta,86
2011,Helsinki,Kansallinen Kokoomus,101
2011,Helsinki,Vihreä liitto,28
2011,Helsinki,Suomen Sosialidemokraattinen Puolue,79
2011,Helsinki,Perussuomalaiset,30
2011,Helsinki,Suomen ruotsalainen kansanpuolue,9
2011,Helsinki,Vasemmistoliitto,27
2011,Helsinki,Suomen Kristillisdemokraatit,6
2011,Helsinki,Sininen tulevaisuus,3
2011,Espoo,Suomen Keskusta,9
2011,Espoo,Suomen Sosialidemokraattinen Puolue,11
2011,Espoo,Kansallinen Kokoomus,18
2011,Espoo,Vasemmistoliitto,3
2011,Espoo,Sininen tulevaisuus,2
2011,Espoo,Vihreä liitto,3
2011,Espoo,Perussuomalaiset,2
2011,Espoo,Suomen ruotsalainen kansanpuolue,1
2011,Tampere,Suomen Sosialidemokraattinen Puolue,19
2011,Tampere,Kansallinen Kokoomus,23
2011,Tampere,Suomen Keskusta,30
2011,Tampere,Vasemmistoliitto,6
2011,Tampere,Perussuomalaiset,5
2011,Tampere,Vihreä liitto,3
2011,Tampere,Suomen Kristillisdemokraatit,4
2011,Tampere,Suomen Kansan Demokraattinen Liitto,1
2011,Vantaa,Kansallinen Kokoomus,17
2011,Vantaa,Suomen Keskusta,9
2011,Vantaa,Suomen Sosialidemokraattinen Puolue,17
2011,Vantaa,Vihreä liitto,6
2011,Vantaa,Vasemmistoliitto,4
2011,Vantaa,Perussuomalaiset,15
2011,Vantaa,Suomen ruotsalainen kansanpuolue,1
2011,Vantaa,Suomen Kristillisdemokraatit,1
2011,Oulu,Perussuomalaiset,4
2011,Oulu,Vihreä liitto,15
2011,Oulu,Vasemmistoliitto,11
2011,Oulu,Kansallinen Kokoomus,14
2011,Oulu,Suomen Sosialidemokraattinen Puolue,18
2011,Oulu,Suomen Keskusta,33
2011,Oulu,Suomen ruotsalainen kansanpuolue,1
2011,Oulu,Suomen Kristillisdemokraatit,4
2011,Turku,Suomen Keskusta,14
2011,Turku,Suomen Sosialidemokraattinen Puolue,17
2011,Turku,Vihreä liitto,8
2011,Turku,Kansallinen Kokoomus,24
2011,Turku,Perussuomalaiset,5
2011,Turku,Suomen ruotsalainen kansanpuolue,4
2011,Turku,Vasemmistoliitto,10
2011,Turku,Suomen Kristillisdemokraatit,1
2011,Turku,Sininen tulevaisuus,1
2011,Jyväskylä,Suomen Sosialidemokraattinen Puolue,17
2011,Jyväskylä,Suomen Keskusta,31
2011,Jyväskylä,Kansallinen Kokoomus,6
2011,Jyväskylä,Vasemmistoliitto,2
2011,Jyväskylä,Suomen Kristillisdemokraatit,3
2011,Jyväskylä,Vihreä liitto,1
2011,Jyväskylä,Perussuomalaiset,1
2011,Kuopio,Suomen ruotsalainen kansanpuolue,6
2011,Kuopio,Suomen Keskusta,17
2011,Kuopio,Kansallinen Kokoomus,5
2011,Kuopio,Vasemmistoliitto,7
2011,Kuopio,Suomen Sosialidemokraattinen Puolue,6
2011,Kuopio,Perussuomalaiset,6
2011,Lahti,Kansallinen Kokoomus,7
2011,Lahti,Suomen Sosialidemokraattinen Puolue,12
2011,Lahti,Perussuomalaiset,2
2011,Lahti,Suomen Keskusta,7
2011,Lahti,Vasemmistoliitto,1
2011,Pori,Kansallinen Kokoomus,12
2011,Pori,Suomen Keskusta,6
2011,Pori,Suomen Sosialidemokraattinen Puolue,4
2011,Pori,Perussuomalaiset,1
2011,Kouvola,Kansallinen Kokoomus,7
2011,Kouvola,Suomen Sosialidemokraattinen Puolue,6
2011,Kouvola,Perussuomalaiset,20
2011,Kouvola,Vasemmistoliitto,7
2011,Kouvola,Suomen Keskusta,9
2011,Kouvola,Suomen Kristillisdemokraatit,3
2011,Kouvola,Suomen ruotsalainen kansanpuolue,1
2011,Joensuu,Perussuomalaiset,2
2011,Joensuu,Suomen Sosialidemokraattinen Puolue,6
2011,Joensuu,Suomen Keskusta,4
