city,year,electoral_district,mention_count
Helsinki,2009,Helsingin kaupungin vaalipiiri,13
Helsinki,2006,Helsingin kaupungin vaalipiiri,22
Helsinki,2005,Turun läänin eteläinen vaalipiiri,12
Helsinki,2006,Hämeen vaalipiiri,18
Helsinki,2009,Satakunnan vaalipiiri,20
Helsinki,2013,Keski-Suomen vaalipiiri,30
Helsinki,2012,Lapin vaalipiiri,15
Helsinki,2006,Satakunnan vaalipiiri,2
Helsinki,2006,Varsinais-Suomen vaalipiiri,17
Helsinki,2010,Pohjois-Savon vaalipiiri,15
Helsinki,2008,Pohjois-Karjalan läänin vaalipiiri,11
Helsinki,2006,Pohjois-Savon vaalipiiri,18
Helsinki,2004,Pohjois-Karjalan läänin vaalipiiri,14
Helsinki,2013,Pirkanmaan vaalipiiri,27
Helsinki,2011,Oulun vaalipiiri,33
Helsinki,2012,Helsingin kaupungin vaalipiiri,12
Helsinki,2007,Satakunnan vaalipiiri,14
Helsinki,2009,Etelä-Savon vaalipiiri,2
Helsinki,2010,Pirkanmaan vaalipiiri,17
Helsinki,2011,Turun läänin pohjoinen vaalipiiri,2
Helsinki,2005,Keski-Suomen vaalipiiri,14
Helsinki,2009,Pirkanmaan vaalipiiri,16
Helsinki,2009,Hämeen vaalipiiri,14
Helsinki,2009,Kymen läänin vaalipiiri,20
Helsinki,2007,Etelä-Savon vaalipiiri,7
Helsinki,2009,Hämeen läänin pohjoinen vaalipiiri,11
Helsinki,2004,Kuopion vaalipiiri,9
Helsinki,2009,NaN,1
Helsinki,2009,Vaasan vaalipiiri,23
Helsinki,2008,Keski-Suomen vaalipiiri,24
Helsinki,2011,Pirkanmaan vaalipiiri,6
Helsinki,2013,Pohjois-Karjalan vaalipiiri,4
Helsinki,2006,Kymen vaalipiiri,15
Helsinki,2011,Vaasan läänin vaalipiiri,6
Helsinki,2006,Turun läänin eteläinen vaalipiiri,9
Helsinki,2004,Pohjois-Karjalan vaalipiiri,10
Helsinki,2011,Kuopion vaalipiiri,7
Helsinki,2009,Turun läänin pohjoinen vaalipiiri,2
Helsinki,2011,Kymen vaalipiiri,18
Helsinki,2008,Lapin vaalipiiri,14
Helsinki,2007,Hämeen vaalipiiri,7
Helsinki,2005,Turun läänin pohjoinen vaalipiiri,13
Helsinki,2006,Uudenmaan läänin vaalipiiri,6
Helsinki,2004,Varsinais-Suomen vaalipiiri,11
Helsinki,2004,Kymen vaalipiiri,13
Helsinki,2013,Keski-Suomen läänin vaalipiiri,12
Helsinki,2008,Helsingin kaupungin vaalipiiri,9
Helsinki,2004,Uudenmaan läänin vaalipiiri,8
Helsinki,2010,Keski-Suomen läänin vaalipiiri,10
Helsinki,2007,Keski-Suomen läänin vaalipiiri,3
Helsinki,2004,Hämeen läänin eteläinen vaalipiiri,8
Helsinki,2011,Kymen läänin vaalipiiri,10
Helsinki,2005,Hämeen läänin eteläinen vaalipiiri,12
Helsinki,2006,Hämeen läänin eteläinen vaalipiiri,8
Helsinki,2012,Kuopion läänin vaalipiiri,1
Helsinki,2007,Lapin vaalipiiri,14
Helsinki,2005,Keski-Suomen läänin vaalipiiri,2
Helsinki,2011,Lapin vaalipiiri,9
Helsinki,2007,Pohjois-Karjalan vaalipiiri,4
Helsinki,2007,Uudenmaan läänin vaalipiiri,10
Helsinki,2012,Etelä-Savon vaalipiiri,6
Helsinki,2007,Turun läänin eteläinen vaalipiiri,6
Helsinki,2007,Hämeen läänin eteläinen vaalipiiri,7
Helsinki,2008,Etelä-Savon vaalipiiri,6
Helsinki,2009,Vaasan läänin vaalipiiri,9
Helsinki,2008,Turun läänin pohjoinen vaalipiiri,1
Helsinki,2010,Pohjois-Karjalan vaalipiiri,8
Helsinki,2009,Keski-Suomen läänin vaalipiiri,4
Helsinki,2005,Pohjois-Savon vaalipiiri,6
Helsinki,2004,Hämeen vaalipiiri,9
Helsinki,2005,Mikkelin vaalipiiri,2
Helsinki,2012,Pohjois-Karjalan vaalipiiri,2
Helsinki,2004,Satakunnan vaalipiiri,4
Helsinki,2012,Mikkelin vaalipiiri,1
Helsinki,2004,Pohjois-Savon vaalipiiri,4
Helsinki,2004,Lapin läänin vaalipiiri,2
Helsinki,2009,Turun läänin eteläinen vaalipiiri,3
Helsinki,2010,Turun läänin pohjoinen vaalipiiri,2
Helsinki,2007,Oulun vaalipiiri,5
Helsinki,2005,Uudenmaan läänin vaalipiiri,2
Helsinki,2006,Keski-Suomen läänin vaalipiiri,3
Helsinki,2008,Vaasan läänin vaalipiiri,3
Helsinki,2011,Keski-Suomen läänin vaalipiiri,2
Helsinki,2008,Pohjois-Karjalan vaalipiiri,4
Helsinki,2011,Satakunnan vaalipiiri,3
Helsinki,2013,Pohjois-Karjalan läänin vaalipiiri,5
Helsinki,2010,Etelä-Savon vaalipiiri,5
Helsinki,2011,Uudenmaan läänin vaalipiiri,2
Helsinki,2011,Turun läänin eteläinen vaalipiiri,1
Helsinki,2006,Mikkelin vaalipiiri,6
Helsinki,2005,Satakunnan vaalipiiri,1
Helsinki,2013,Uudenmaan läänin vaalipiiri,2
Helsinki,2013,Kuopion läänin vaalipiiri,1
Helsinki,2010,Pohjois-Karjalan läänin vaalipiiri,7
Helsinki,2010,Vaasan läänin vaalipiiri,4
Helsinki,2011,Etelä-Savon vaalipiiri,1
Helsinki,2009,Pohjois-Karjalan vaalipiiri,5
Helsinki,2010,Uudenmaan läänin vaalipiiri,3
Helsinki,2012,Pohjois-Karjalan läänin vaalipiiri,1
Helsinki,2006,Hämeen läänin pohjoinen vaalipiiri,6
Helsinki,2008,Hämeen läänin eteläinen vaalipiiri,2
Helsinki,2012,Kuopion vaalipiiri,4
Helsinki,2009,Ahvenanmaan maakunnan vaalipiiri,1
Helsinki,2007,Vaasan läänin vaalipiiri,3
Helsinki,2011,Pohjois-Karjalan vaalipiiri,2
Helsinki,2013,Turun läänin pohjoinen vaalipiiri,1
Helsinki,2011,Hämeen läänin eteläinen vaalipiiri,2
Helsinki,2005,Pohjois-Karjalan vaalipiiri,4
Helsinki,2008,Turun läänin eteläinen vaalipiiri,2
Helsinki,2010,Turun läänin eteläinen vaalipiiri,2
Helsinki,2009,Kuopion vaalipiiri,5
Helsinki,2007,NaN,1
Helsinki,2008,Keski-Suomen läänin vaalipiiri,1
Helsinki,2010,NaN,1
Helsinki,2004,Mikkelin vaalipiiri,2
Helsinki,2005,Kuopion läänin vaalipiiri,1
Helsinki,2012,Uudenmaan läänin vaalipiiri,1
Espoo,2004,Uudenmaan vaalipiiri,34
Espoo,2005,Vaasan läänin vaalipiiri,1
Espoo,2006,Oulun vaalipiiri,1
Espoo,2012,Pohjois-Savon vaalipiiri,4
Espoo,2010,Uudenmaan vaalipiiri,23
Espoo,2008,Helsingin vaalipiiri,17
Espoo,2007,Uudenmaan vaalipiiri,17
Espoo,2008,Uudenmaan vaalipiiri,43
Espoo,2005,Uudenmaan vaalipiiri,21
Espoo,2005,Helsingin vaalipiiri,4
Espoo,2009,Uudenmaan vaalipiiri,23
Espoo,2004,Turun läänin eteläinen vaalipiiri,1
Espoo,2006,Uudenmaan vaalipiiri,34
Espoo,2011,Oulun vaalipiiri,5
Espoo,2012,Oulun vaalipiiri,9
Espoo,2006,Helsingin vaalipiiri,7
Espoo,2013,Hämeen läänin eteläinen vaalipiiri,1
Espoo,2006,Oulun läänin vaalipiiri,1
Espoo,2011,Uudenmaan vaalipiiri,25
Espoo,2011,Kymen vaalipiiri,1
Espoo,2013,Uudenmaan vaalipiiri,35
Espoo,2008,Oulun vaalipiiri,2
Espoo,2012,Helsingin vaalipiiri,3
Espoo,2012,Varsinais-Suomen vaalipiiri,1
Espoo,2004,Lapin vaalipiiri,3
Espoo,2011,Helsingin vaalipiiri,8
Espoo,2009,Helsingin vaalipiiri,7
Espoo,2012,Uudenmaan vaalipiiri,35
Espoo,2008,Vaasan vaalipiiri,2
Espoo,2009,Pohjois-Savon vaalipiiri,4
Espoo,2006,Keski-Suomen vaalipiiri,9
Espoo,2010,Varsinais-Suomen vaalipiiri,2
Espoo,2012,Vaasan läänin vaalipiiri,4
Espoo,2007,Pirkanmaan vaalipiiri,1
Espoo,2005,Hämeen läänin eteläinen vaalipiiri,2
Espoo,2013,Oulun vaalipiiri,3
Espoo,2013,Keski-Suomen läänin vaalipiiri,1
Espoo,2005,Pirkanmaan vaalipiiri,3
Espoo,2008,Kuopion vaalipiiri,1
Espoo,2005,Kymen läänin vaalipiiri,1
Espoo,2008,Oulun läänin vaalipiiri,3
Espoo,2008,Hämeen vaalipiiri,2
Espoo,2012,Pirkanmaan vaalipiiri,2
Espoo,2007,Oulun vaalipiiri,1
Espoo,2006,Kymen läänin vaalipiiri,5
Espoo,2007,Helsingin vaalipiiri,7
Espoo,2007,Vaasan vaalipiiri,3
Espoo,2007,Keski-Suomen vaalipiiri,3
Espoo,2008,Varsinais-Suomen vaalipiiri,1
Espoo,2010,Pohjois-Savon vaalipiiri,1
Espoo,2009,Uudenmaan läänin vaalipiiri,3
Espoo,2010,Oulun vaalipiiri,1
Espoo,2011,Varsinais-Suomen vaalipiiri,2
Espoo,2008,Hämeen läänin pohjoinen vaalipiiri,3
Espoo,2009,Pohjois-Karjalan läänin vaalipiiri,1
Espoo,2007,Kuopion vaalipiiri,2
Espoo,2012,Hämeen läänin pohjoinen vaalipiiri,1
Espoo,2013,Varsinais-Suomen vaalipiiri,1
Espoo,2006,Uudenmaan läänin vaalipiiri,3
Espoo,2005,Helsingin kaupungin vaalipiiri,3
Espoo,2009,Lapin vaalipiiri,1
Espoo,2006,Helsingin kaupungin vaalipiiri,3
Espoo,2013,Pirkanmaan vaalipiiri,2
Espoo,2006,Pohjois-Karjalan vaalipiiri,2
Espoo,2005,Lapin vaalipiiri,1
Espoo,2007,Oulun läänin vaalipiiri,2
Espoo,2004,Vaasan vaalipiiri,2
Espoo,2013,Hämeen vaalipiiri,3
Espoo,2007,Helsingin kaupungin vaalipiiri,1
Espoo,2006,Pohjois-Savon vaalipiiri,2
Espoo,2006,Keski-Suomen läänin vaalipiiri,2
Espoo,2005,Turun läänin pohjoinen vaalipiiri,2
Espoo,2009,Pirkanmaan vaalipiiri,3
Espoo,2007,Keski-Suomen läänin vaalipiiri,1
Espoo,2011,Keski-Suomen vaalipiiri,2
Espoo,2013,Keski-Suomen vaalipiiri,2
Espoo,2010,Hämeen vaalipiiri,1
Espoo,2012,Satakunnan vaalipiiri,1
Espoo,2004,Keski-Suomen vaalipiiri,5
Espoo,2006,Hämeen läänin eteläinen vaalipiiri,1
Espoo,2007,Varsinais-Suomen vaalipiiri,1
Espoo,2007,Pohjois-Karjalan läänin vaalipiiri,1
Espoo,2008,Turun läänin eteläinen vaalipiiri,1
Espoo,2009,Turun läänin eteläinen vaalipiiri,3
Espoo,2004,Vaasan läänin vaalipiiri,1
Espoo,2006,Mikkelin vaalipiiri,1
Espoo,2010,Oulun läänin vaalipiiri,1
Espoo,2006,Turun läänin eteläinen vaalipiiri,3
Espoo,2005,Turun läänin eteläinen vaalipiiri,4
Espoo,2010,Helsingin vaalipiiri,7
Espoo,2010,Kymen läänin vaalipiiri,4
Espoo,2009,Keski-Suomen läänin vaalipiiri,1
Espoo,2004,Oulun vaalipiiri,1
Espoo,2007,Kymen läänin vaalipiiri,2
Espoo,2008,Kymen läänin vaalipiiri,2
Espoo,2008,Keski-Suomen vaalipiiri,5
Espoo,2013,Helsingin kaupungin vaalipiiri,2
Espoo,2011,Satakunnan vaalipiiri,1
Espoo,2007,Pohjois-Savon vaalipiiri,1
Espoo,2006,Hämeen vaalipiiri,1
Espoo,2009,Kymen vaalipiiri,2
Espoo,2008,Lapin vaalipiiri,4
Espoo,2010,Hämeen läänin eteläinen vaalipiiri,1
Espoo,2012,Hämeen vaalipiiri,1
Espoo,2004,Pirkanmaan vaalipiiri,2
Espoo,2004,Uudenmaan läänin vaalipiiri,1
Espoo,2010,Lapin vaalipiiri,1
Espoo,2011,Pirkanmaan vaalipiiri,1
Espoo,2012,Pohjois-Karjalan vaalipiiri,3
Espoo,2013,Kuopion vaalipiiri,2
Espoo,2006,Lapin vaalipiiri,2
Espoo,2007,Lapin vaalipiiri,1
Espoo,2012,Vaasan vaalipiiri,2
Espoo,2004,Varsinais-Suomen vaalipiiri,1
Espoo,2005,Pohjois-Savon vaalipiiri,1
Espoo,2004,Kymen läänin vaalipiiri,1
Espoo,2005,Pohjois-Karjalan vaalipiiri,1
Espoo,2007,Hämeen läänin eteläinen vaalipiiri,2
Espoo,2006,Kymen vaalipiiri,1
Espoo,2006,Vaasan vaalipiiri,1
Espoo,2004,Helsingin kaupungin vaalipiiri,1
Espoo,2007,Kymen vaalipiiri,1
Espoo,2011,Hämeen vaalipiiri,2
Espoo,2005,Kuopion vaalipiiri,1
Espoo,2009,Oulun läänin vaalipiiri,2
Espoo,2005,Keski-Suomen vaalipiiri,1
Espoo,2005,Varsinais-Suomen vaalipiiri,2
Espoo,2011,Oulun läänin vaalipiiri,2
Espoo,2012,Keski-Suomen vaalipiiri,2
Espoo,2010,Kuopion läänin vaalipiiri,1
Espoo,2009,Kymen läänin vaalipiiri,1
Espoo,2008,Pohjois-Karjalan läänin vaalipiiri,1
Espoo,2006,Varsinais-Suomen vaalipiiri,1
Espoo,2006,Pirkanmaan vaalipiiri,2
Espoo,2010,Kymen vaalipiiri,1
Espoo,2013,Helsingin vaalipiiri,1
Espoo,2006,Vaasan läänin vaalipiiri,1
Espoo,2005,Oulun läänin vaalipiiri,1
Espoo,2010,Vaasan vaalipiiri,1
Espoo,2013,Pohjois-Karjalan läänin vaalipiiri,1
Espoo,2005,Keski-Suomen läänin vaalipiiri,1
Espoo,2008,Pohjois-Karjalan vaalipiiri,1
Tampere,2006,Pirkanmaan vaalipiiri,54
Tampere,2013,Pirkanmaan vaalipiiri,57
Tampere,2004,Satakunnan vaalipiiri,2
Tampere,2009,Vaasan läänin vaalipiiri,2
Tampere,2011,Pirkanmaan vaalipiiri,39
Tampere,2013,Hämeen läänin pohjoinen vaalipiiri,4
Tampere,2010,Helsingin vaalipiiri,10
Tampere,2006,Varsinais-Suomen vaalipiiri,3
Tampere,2009,Pohjois-Savon vaalipiiri,4
Tampere,2008,Hämeen vaalipiiri,4
Tampere,2013,Vaasan läänin vaalipiiri,1
Tampere,2004,Vaasan vaalipiiri,1
Tampere,2013,Keski-Suomen vaalipiiri,5
Tampere,2011,Oulun vaalipiiri,9
Tampere,2010,Keski-Suomen vaalipiiri,6
Tampere,2004,Uudenmaan vaalipiiri,12
Tampere,2005,Pirkanmaan vaalipiiri,55
Tampere,2012,Pirkanmaan vaalipiiri,49
Tampere,2009,Pirkanmaan vaalipiiri,34
Tampere,2009,Oulun vaalipiiri,7
Tampere,2013,Pohjois-Savon vaalipiiri,5
Tampere,2005,Varsinais-Suomen vaalipiiri,1
Tampere,2010,Oulun läänin vaalipiiri,3
Tampere,2006,Vaasan vaalipiiri,10
Tampere,2005,Oulun vaalipiiri,3
Tampere,2006,Oulun vaalipiiri,6
Tampere,2010,Uudenmaan vaalipiiri,14
Tampere,2010,Pirkanmaan vaalipiiri,28
Tampere,2006,Helsingin vaalipiiri,10
Tampere,2009,Oulun läänin vaalipiiri,9
Tampere,2010,Kuopion vaalipiiri,2
Tampere,2006,Pohjois-Karjalan läänin vaalipiiri,1
Tampere,2008,Pirkanmaan vaalipiiri,45
Tampere,2004,Kymen läänin vaalipiiri,5
Tampere,2006,Oulun läänin vaalipiiri,5
Tampere,2007,Kymen vaalipiiri,1
Tampere,2005,Keski-Suomen vaalipiiri,7
Tampere,2006,Keski-Suomen vaalipiiri,14
Tampere,2004,Pirkanmaan vaalipiiri,50
Tampere,2006,Turun läänin pohjoinen vaalipiiri,2
Tampere,2011,Varsinais-Suomen vaalipiiri,1
Tampere,2006,Kuopion vaalipiiri,6
Tampere,2005,Turun läänin pohjoinen vaalipiiri,2
Tampere,2006,Lapin vaalipiiri,5
Tampere,2012,Helsingin vaalipiiri,2
Tampere,2005,Vaasan vaalipiiri,2
Tampere,2008,Keski-Suomen vaalipiiri,13
Tampere,2013,Vaasan vaalipiiri,2
Tampere,2004,Helsingin kaupungin vaalipiiri,3
Tampere,2007,Keski-Suomen vaalipiiri,10
Tampere,2011,Keski-Suomen vaalipiiri,6
Tampere,2005,Kymen läänin vaalipiiri,2
Tampere,2004,Varsinais-Suomen vaalipiiri,1
Tampere,2006,Satakunnan vaalipiiri,3
Tampere,2009,Keski-Suomen vaalipiiri,10
Tampere,2011,Uudenmaan vaalipiiri,5
Tampere,2004,Pohjois-Karjalan läänin vaalipiiri,1
Tampere,2008,Lapin vaalipiiri,3
Tampere,2007,Pirkanmaan vaalipiiri,32
Tampere,2005,Helsingin kaupungin vaalipiiri,3
Tampere,2009,Hämeen läänin pohjoinen vaalipiiri,12
Tampere,2012,Vaasan vaalipiiri,8
Tampere,2006,Helsingin kaupungin vaalipiiri,4
Tampere,2010,Mikkelin vaalipiiri,1
Tampere,2006,Kymen läänin vaalipiiri,6
Tampere,2013,Keski-Suomen läänin vaalipiiri,3
Tampere,2009,Keski-Suomen läänin vaalipiiri,2
Tampere,2005,Turun läänin eteläinen vaalipiiri,6
Tampere,2007,Uudenmaan vaalipiiri,1
Tampere,2008,Helsingin vaalipiiri,12
Tampere,2012,Oulun vaalipiiri,11
Tampere,2007,Helsingin vaalipiiri,13
Tampere,2008,Etelä-Savon vaalipiiri,1
Tampere,2008,Uudenmaan vaalipiiri,6
Tampere,2006,Hämeen läänin pohjoinen vaalipiiri,12
Tampere,2010,Satakunnan vaalipiiri,3
Tampere,2012,Hämeen läänin pohjoinen vaalipiiri,1
Tampere,2009,Varsinais-Suomen vaalipiiri,5
Tampere,2005,Kymen vaalipiiri,4
Tampere,2011,Hämeen vaalipiiri,5
Tampere,2007,Vaasan läänin vaalipiiri,1
Tampere,2004,Hämeen läänin pohjoinen vaalipiiri,21
Tampere,2005,Vaasan läänin vaalipiiri,2
Tampere,2004,Pohjois-Savon vaalipiiri,3
Tampere,2004,Hämeen vaalipiiri,1
Tampere,2010,Hämeen läänin pohjoinen vaalipiiri,11
Tampere,2006,Uudenmaan vaalipiiri,5
Tampere,2013,Pohjois-Karjalan läänin vaalipiiri,1
Tampere,2005,Lapin vaalipiiri,5
Tampere,2012,Keski-Suomen läänin vaalipiiri,1
Tampere,2013,Oulun vaalipiiri,8
Tampere,2005,Hämeen läänin pohjoinen vaalipiiri,11
Tampere,2007,Turun läänin eteläinen vaalipiiri,2
Tampere,2012,Keski-Suomen vaalipiiri,4
Tampere,2005,Helsingin vaalipiiri,9
Tampere,2012,Hämeen vaalipiiri,8
Tampere,2004,Keski-Suomen vaalipiiri,2
Tampere,2004,Kuopion vaalipiiri,6
Tampere,2004,Oulun läänin vaalipiiri,1
Tampere,2009,Uudenmaan vaalipiiri,14
Tampere,2004,Hämeen läänin eteläinen vaalipiiri,1
Tampere,2004,Turun läänin eteläinen vaalipiiri,4
Tampere,2012,Helsingin kaupungin vaalipiiri,1
Tampere,2011,Oulun läänin vaalipiiri,3
Tampere,2012,Pohjois-Karjalan läänin vaalipiiri,1
Tampere,2010,Keski-Suomen läänin vaalipiiri,2
Tampere,2010,Oulun vaalipiiri,10
Tampere,2009,Hämeen läänin eteläinen vaalipiiri,3
Tampere,2011,Hämeen läänin pohjoinen vaalipiiri,4
Tampere,2012,Lapin vaalipiiri,1
Tampere,2008,Hämeen läänin pohjoinen vaalipiiri,12
Tampere,2012,Uudenmaan vaalipiiri,4
Tampere,2008,Oulun läänin vaalipiiri,3
Tampere,2004,Lapin läänin vaalipiiri,1
Tampere,2008,Helsingin kaupungin vaalipiiri,2
Tampere,2006,Uudenmaan läänin vaalipiiri,2
Tampere,2012,Kymen vaalipiiri,8
Tampere,2004,Oulun vaalipiiri,1
Tampere,2013,Kymen vaalipiiri,1
