city,year,electoral_district,mention_count
Helsinki,2004,Oulun läänin vaalipiiri,25
Helsinki,2004,Keski-Suomen vaalipiiri,13
Helsinki,2007,Helsingin vaalipiiri,65
Helsinki,2009,Oulun läänin vaalipiiri,41
Helsinki,2005,Kymen vaalipiiri,18
Helsinki,2013,Varsinais-Suomen vaalipiiri,28
Helsinki,2010,Kymen läänin vaalipiiri,33
Helsinki,2005,Kymen läänin vaalipiiri,31
Helsinki,2005,Lapin vaalipiiri,6
Helsinki,2008,Oulun läänin vaalipiiri,34
Helsinki,2004,Helsingin kaupungin vaalipiiri,15
Helsinki,2013,Uudenmaan vaalipiiri,73
Helsinki,2011,Pohjois-Savon vaalipiiri,8
Helsinki,2013,Helsingin vaalipiiri,68
Helsinki,2006,Uudenmaan vaalipiiri,77
Helsinki,2006,Pirkanmaan vaalipiiri,19
Helsinki,2011,Uudenmaan vaalipiiri,82
Helsinki,2004,Helsingin vaalipiiri,60
Helsinki,2007,Uudenmaan vaalipiiri,49
Helsinki,2010,Vaasan vaalipiiri,29
Helsinki,2006,Pohjois-Karjalan läänin vaalipiiri,7
Helsinki,2005,Helsingin kaupungin vaalipiiri,27
Helsinki,2012,Uudenmaan vaalipiiri,77
Helsinki,2013,Etelä-Savon vaalipiiri,10
Helsinki,2005,Hämeen vaalipiiri,23
Helsinki,2013,Oulun vaalipiiri,31
Helsinki,2008,Kuopion vaalipiiri,8
Helsinki,2011,Helsingin kaupungin vaalipiiri,9
Helsinki,2013,Vaasan vaalipiiri,20
Helsinki,2008,Kymen läänin vaalipiiri,27
Helsinki,2013,Lapin vaalipiiri,22
Helsinki,2009,Mikkelin vaalipiiri,4
Helsinki,2012,Keski-Suomen vaalipiiri,23
Helsinki,2009,Helsingin vaalipiiri,105
Helsinki,2004,Uudenmaan vaalipiiri,74
Helsinki,2006,Kymen läänin vaalipiiri,22
Helsinki,2011,Keski-Suomen vaalipiiri,21
Helsinki,2006,Lapin vaalipiiri,19
Helsinki,2008,Helsingin vaalipiiri,98
Helsinki,2013,Satakunnan vaalipiiri,9
Helsinki,2007,Pohjois-Savon vaalipiiri,6
Helsinki,2006,Helsingin vaalipiiri,74
Helsinki,2010,Helsingin vaalipiiri,99
Helsinki,2012,Varsinais-Suomen vaalipiiri,20
Helsinki,2013,Hämeen vaalipiiri,32
Helsinki,2007,Oulun läänin vaalipiiri,23
Helsinki,2010,Kuopion vaalipiiri,6
Helsinki,2010,Varsinais-Suomen vaalipiiri,28
Helsinki,2011,Varsinais-Suomen vaalipiiri,16
Helsinki,2010,Keski-Suomen vaalipiiri,24
Helsinki,2009,Keski-Suomen vaalipiiri,37
Helsinki,2004,Turun läänin eteläinen vaalipiiri,12
Helsinki,2004,Turun läänin pohjoinen vaalipiiri,12
Helsinki,2005,Oulun läänin vaalipiiri,18
Helsinki,2007,Vaasan vaalipiiri,23
Helsinki,2008,Uudenmaan vaalipiiri,93
Helsinki,2012,Kymen vaalipiiri,24
Helsinki,2007,Varsinais-Suomen vaalipiiri,11
Helsinki,2012,Helsingin vaalipiiri,57
Helsinki,2011,Hämeen läänin pohjoinen vaalipiiri,9
Helsinki,2007,Kuopion vaalipiiri,12
Helsinki,2005,Oulun vaalipiiri,14
Helsinki,2009,Oulun vaalipiiri,22
Helsinki,2005,Hämeen läänin pohjoinen vaalipiiri,5
Helsinki,2010,Uudenmaan vaalipiiri,78
Helsinki,2006,Vaasan läänin vaalipiiri,11
Helsinki,2009,Kymen vaalipiiri,31
Helsinki,2013,Mikkelin vaalipiiri,2
Helsinki,2009,Lapin vaalipiiri,16
Helsinki,2010,Lapin vaalipiiri,16
Helsinki,2006,Oulun läänin vaalipiiri,23
Helsinki,2010,Oulun läänin vaalipiiri,22
Helsinki,2009,Uudenmaan vaalipiiri,94
Helsinki,2009,Pohjois-Karjalan läänin vaalipiiri,12
Helsinki,2007,Pohjois-Karjalan läänin vaalipiiri,6
Helsinki,2011,Oulun läänin vaalipiiri,9
Helsinki,2004,Keski-Suomen läänin vaalipiiri,1
Helsinki,2005,Pohjois-Karjalan läänin vaalipiiri,7
Helsinki,2005,Helsingin vaalipiiri,74
Helsinki,2006,Keski-Suomen vaalipiiri,20
Helsinki,2008,Hämeen läänin pohjoinen vaalipiiri,17
Helsinki,2007,Kymen vaalipiiri,11
Helsinki,2008,Hämeen vaalipiiri,14
Helsinki,2012,Vaasan vaalipiiri,20
Helsinki,2012,Vaasan läänin vaalipiiri,6
Helsinki,2010,Hämeen läänin pohjoinen vaalipiiri,18
Helsinki,2006,Oulun vaalipiiri,13
Helsinki,2011,Vaasan vaalipiiri,28
Helsinki,2011,Pohjois-Karjalan läänin vaalipiiri,4
Helsinki,2009,Varsinais-Suomen vaalipiiri,13
Helsinki,2006,Pohjois-Karjalan vaalipiiri,8
Helsinki,2011,Helsingin vaalipiiri,60
Helsinki,2007,Helsingin kaupungin vaalipiiri,10
Helsinki,2013,Kymen vaalipiiri,28
Helsinki,2008,Varsinais-Suomen vaalipiiri,13
Helsinki,2012,Pirkanmaan vaalipiiri,31
Helsinki,2009,Hämeen läänin eteläinen vaalipiiri,13
Helsinki,2005,Vaasan läänin vaalipiiri,9
Helsinki,2007,Keski-Suomen vaalipiiri,22
Helsinki,2009,Uudenmaan läänin vaalipiiri,6
Helsinki,2012,Hämeen vaalipiiri,25
Helsinki,2005,Uudenmaan vaalipiiri,40
Helsinki,2006,Kuopion vaalipiiri,21
Helsinki,2012,Pohjois-Savon vaalipiiri,19
Helsinki,2007,Turun läänin pohjoinen vaalipiiri,6
Helsinki,2004,Kymen läänin vaalipiiri,20
Helsinki,2008,Pohjois-Savon vaalipiiri,10
Helsinki,2004,Pirkanmaan vaalipiiri,30
Helsinki,2008,Vaasan vaalipiiri,21
Helsinki,2004,Oulun vaalipiiri,22
Helsinki,2010,Hämeen vaalipiiri,21
Helsinki,2005,Kuopion vaalipiiri,11
Helsinki,2010,Kymen vaalipiiri,15
Helsinki,2008,Mikkelin vaalipiiri,3
Helsinki,2013,Kuopion vaalipiiri,6
Helsinki,2010,Hämeen läänin eteläinen vaalipiiri,11
Helsinki,2008,Oulun vaalipiiri,21
Helsinki,2004,Hämeen läänin pohjoinen vaalipiiri,18
Helsinki,2013,Hämeen läänin pohjoinen vaalipiiri,8
Helsinki,2005,Vaasan vaalipiiri,32
Helsinki,2013,Pohjois-Savon vaalipiiri,14
Helsinki,2012,Hämeen läänin pohjoinen vaalipiiri,11
Helsinki,2007,Pirkanmaan vaalipiiri,11
Helsinki,2008,Satakunnan vaalipiiri,10
Helsinki,2006,Turun läänin pohjoinen vaalipiiri,3
Helsinki,2011,Hämeen vaalipiiri,19
Helsinki,2010,Oulun vaalipiiri,32
Helsinki,2013,Helsingin kaupungin vaalipiiri,28
Helsinki,2004,Vaasan läänin vaalipiiri,7
Helsinki,2010,Mikkelin vaalipiiri,10
Helsinki,2006,Vaasan vaalipiiri,28
Helsinki,2012,Satakunnan vaalipiiri,10
Helsinki,2010,Helsingin kaupungin vaalipiiri,13
Helsinki,2013,Oulun läänin vaalipiiri,2
Helsinki,2005,Varsinais-Suomen vaalipiiri,10
Helsinki,2013,Hämeen läänin eteläinen vaalipiiri,9
Helsinki,2009,Pohjois-Savon vaalipiiri,31
Helsinki,2007,Hämeen läänin pohjoinen vaalipiiri,10
Helsinki,2012,Keski-Suomen läänin vaalipiiri,7
Helsinki,2013,Vaasan läänin vaalipiiri,3
Helsinki,2008,Kymen vaalipiiri,12
Helsinki,2008,Uudenmaan läänin vaalipiiri,5
Helsinki,2012,Oulun vaalipiiri,25
Helsinki,2005,Pirkanmaan vaalipiiri,29
Helsinki,2004,Lapin vaalipiiri,13
Helsinki,2004,Vaasan vaalipiiri,18
Helsinki,2010,Satakunnan vaalipiiri,14
Helsinki,2008,Pirkanmaan vaalipiiri,22
Helsinki,2007,Kymen läänin vaalipiiri,22
